,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
68,"463,289","454,248","457,554","463,438","464,384","454,932","446,483","442,610","454,710","462,267","470,158","475,835","476,428","472,387","450,667","530,065"
69,"461,017","452,420","443,626","447,679","453,512","455,076","446,408","438,047","433,750","445,602","453,843","460,839","467,203","469,060","465,275","475,329"
70,"448,701","448,525","440,776","432,622","437,155","443,064","445,175","436,976","428,806","424,606","436,816","444,685","452,333","459,127","461,250","429,873"
71,"440,327","435,497","435,659","429,036","420,956","426,063","432,295","434,498","426,833","419,064","415,252","426,987","435,600","443,802","450,569","447,400"
72,"432,689","426,159","421,978","422,283","416,345","408,750","414,808","420,852","423,055","415,740","408,913","405,041","417,340","426,711","434,721","444,693"
73,"439,556","417,352","411,310","407,901","408,121","403,127","396,409","402,584","408,618","411,085","404,551","397,839","394,991","407,685","417,017","433,494"
74,"445,352","422,588","401,669","396,322","392,937","393,420","389,833","383,352","389,648","395,813","398,968","392,447","387,005","384,868","397,331","413,458"
75,"441,890","427,000","405,181","385,619","380,297","377,271","378,854","375,725","369,668","375,971","382,962","386,110","380,505","375,947","374,107","394,696"
76,"293,130","420,249","408,063","387,657","368,700","363,808","362,094","363,510","360,772","355,446","361,918","369,284","372,912","368,176","364,202","377,001"
77,"262,015","280,031","397,977","389,023","369,165","351,059","347,710","345,962","347,491","345,340","340,907","347,602","355,327","359,564","355,159","351,160"
78,"278,060","247,130","266,764","375,935","368,999","350,154","333,976","330,637","329,231","331,101","329,681","325,585","332,992","340,989","345,606","335,955"
79,"281,090","260,907","232,126","253,852","352,419","348,410","331,833","316,279","312,721","312,037","314,103","313,808","310,335","318,116","325,950","328,435"
80,"279,699","261,601","243,423","217,278","240,471","328,569","328,511","312,061","297,464","294,481","294,706","297,459","297,473","294,494","302,380","314,375"
81,"261,688","258,693","242,055","226,231","202,068","226,664","305,327","307,401","291,882","278,250","276,014","277,232","280,446","280,809","277,886","294,390"
82,"236,342","240,346","238,001","223,182","208,403","186,459","213,673","282,553","285,477","271,189","259,298","257,655","259,362","262,651","263,551","268,068"
83,"210,846","215,229","218,814","217,773","203,434","190,534","171,282","198,196","259,495","263,329","250,663","240,469","239,386","241,280","244,991","243,870"
84,"187,168","190,066","194,516","198,504","196,911","183,840","173,428","156,301","182,727","236,161","241,566","230,280","221,386","220,709","222,725","224,587"
85,"905,297","924,168","943,530","971,731","990,379","1,008,056","164,933","156,577","141,139","167,117","213,181","220,216","210,195","202,119","201,719","205,520"
86,0,0,0,0,0,0,"157,504","146,986","139,801","125,761","151,727","191,263","199,075","190,033","182,869","183,606"
87,0,0,0,0,0,0,"138,479","138,863","129,296","123,251","111,513","137,083","169,702","178,612","169,980","163,857"
88,0,0,0,0,0,0,"118,365","120,502","120,890","112,110","107,612","97,892","123,387","148,403","158,092","145,212"
89,0,0,0,0,0,0,"98,037","101,277","103,063","103,699","95,951","93,164","85,030","109,962","127,978","130,162"
90,0,0,0,0,0,0,"340,177","350,812","360,453","369,561","378,492","382,043","384,866","377,755","396,460","440,292"
